cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason,theta_start_deg,non_neutral_start
1,True,ok,8.187201460944545,-14.51773272253231,0.9739710647090816,61,5.431654202893157,1.9534968062709799,7.3851510091641375,8.360832253290882,48.2228902024231,strict_initial_window,2.1835277080736795,ok,0.00620525866416906,False
2,True,ok,5.7936118534426475,-3.6359785080211138,0.9760901428975715,67,8.325798923815517,0.0555058491589253,8.381304772974442,0.0,52.1697263268227,strict_initial_window,1.9464451784658754,ok,-0.001548638985020044,False
3,True,ok,7.255429061569163,9.370792383685805,0.9968009540062459,55,6.359480293021137,0.06367754633493213,6.423157839356069,10.372875790791166,58.02833077654101,strict_initial_window,2.373366600290206,ok,-0.003731847820746902,False
4,True,ok,7.953082724152807,-9.949231102694297,0.9706797038156172,24,2.2054528118327847,2.718357906547442,4.923810718380227,9.993991889586912,27.22458425404852,strict_initial_window,1.142676853326097,ok,-0.004054230109757194,False
5,True,ok,4.236790646583521,6.781537333870458,0.9707545170649239,44,3.736502854816904,0.8732827520302681,4.609785606847172,8.463820628726435,24.74180629535009,strict_initial_window,1.3857715473101178,ok,-0.0010461859181509808,False
6,True,ok,8.978240428707664,8.644103731049261,0.959596727264083,24,2.054926337222417,0.011909286754887775,2.0668356239773047,7.616720749356618,24.650135322484346,fallback_initial_window,1.3698661651986395,ok,0.0051744283617662975,False
7,True,ok,7.15151264953679,5.154838417014581,0.9914229824510147,122,8.34948744265548,0.006078827099588147,8.355566269755068,4.761935868515003,67.0022859275958,strict_initial_window,2.456121302744203,ok,-0.002108026077191173,False
8,True,ok,14.956962216021648,-2.4705990592485487,0.8892079962037759,69,2.016384568002383,0.7751362433385589,2.7915208113409418,13.36394231437356,34.13619490210569,fallback_initial_window,2.3299677587353886,ok,0.011224636378618787,False
9,True,ok,7.479796670872911,23.798772853482326,0.9892836543466577,53,5.226113772100774,1.1745533971858648,6.400667169286639,29.083769137389794,72.43064144712665,strict_initial_window,3.2430061189802886,ok,0.005927232845187818,False
10,True,ok,15.760518810935636,-6.952370464964794,0.8695816835100072,34,3.2596633112736293,0.06722585446296041,3.3268891657365898,0.0,40.39662858397552,fallback_initial_window,3.6113368974502875,ok,0.02920874903229196,False
