file_name,intervention,cycle,excluded,exclusion_reason,exclusion_reason_marks,secant_reason,auto_exclusion_reason,valid_secant,pass_auto_exclusion,pass_geometry_gate,pass_monotonicity_gate,mark_dtheta_too_small,mark_mhigh_not_reached,mark_geometry_gate,mark_monotonicity_gate,dtheta_secant_deg,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,gate_opposite_ratio,gate_n_up_m,gate_n_opposite,gate_radius_std_mm,gate_z_std_mm,M_low_Nm,M_high_Nm
2 - Intact Holding Longer,"intact, but holding",2,True,monotonicity_gate,gate:monotonicity,ok,monotonicity_gate,True,False,True,False,False,False,False,True,0.4527930141815906,-0.0103853634215809,0.4424076507600097,6.625543915297384,0.5333333333333333,30,16,0.081268360983228,0.298508380180759,1.0,4.0
2 - Intact Holding Longer,"intact, but holding",3,True,dtheta_too_small,secant:dtheta_too_small;gate:monotonicity,dtheta_too_small,monotonicity_gate,False,False,True,False,True,False,False,True,-0.1133303716817044,1.0918780825090004,0.978547710827296,,0.4375,32,14,0.0811863133867789,0.8700382054521308,1.0,4.0
2 - Intact Holding Longer,"intact, but holding",4,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.1351351351351351,111,15,0.0299182171066611,0.1680659858420825,1.0,4.0
2 - Intact Holding Longer,"intact, but holding",5,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.044776119402985,67,3,0.0443173779249276,0.3797937642153366,1.0,4.0
2 - Intact Holding Longer,"intact, but holding",6,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.3164556962025316,79,25,0.0363286231817485,0.3331646168554306,1.0,4.0
2 - Intact Holding Longer,"intact, but holding",7,True,geometry_gate,gate:geometry,ok,geometry_gate,True,False,False,True,False,False,True,False,0.9852955924626372,0.2331516274506593,1.2184472199132963,3.044771561904416,0.3333333333333333,45,15,0.1473609041355434,1.2769091629822225,1.0,4.0
3 - PUBF Left,"PUBF, left",4,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.2333333333333333,60,14,0.0262384392607827,0.2650498088003477,1.0,4.0
3 - PUBF Left,"PUBF, left",5,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.0526315789473684,38,2,0.0151597471150317,0.2399616054298524,1.0,4.0
3 - PUBF Left,"PUBF, left",6,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.1224489795918367,49,6,0.0130622463727245,0.2097862756213518,1.0,4.0
3 - PUBF Left,"PUBF, left",7,True,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,mhigh_not_reached_on_final_climb,ok,False,True,True,True,False,True,False,False,,,,,0.0983606557377049,61,6,0.0916381148158966,0.1419196846925573,1.0,4.0
