file_name,intervention,cycle,exclusion_reason,exclusion_reason_marks,plot_file
2 - Intact Holding Longer,"intact, but holding",2,monotonicity_gate,gate:monotonicity,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\intact__but_holding_cycle_02_monotonicity_gate.png
2 - Intact Holding Longer,"intact, but holding",3,dtheta_too_small,secant:dtheta_too_small;gate:monotonicity,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\intact__but_holding_cycle_03_dtheta_too_small.png
2 - Intact Holding Longer,"intact, but holding",4,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\intact__but_holding_cycle_04_mhigh_not_reached_on_final_climb.png
2 - Intact Holding Longer,"intact, but holding",5,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\intact__but_holding_cycle_05_mhigh_not_reached_on_final_climb.png
2 - Intact Holding Longer,"intact, but holding",6,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\intact__but_holding_cycle_06_mhigh_not_reached_on_final_climb.png
2 - Intact Holding Longer,"intact, but holding",7,geometry_gate,gate:geometry,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\intact__but_holding_cycle_07_geometry_gate.png
3 - PUBF Left,"PUBF, left",4,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\PUBF__left_cycle_04_mhigh_not_reached_on_final_climb.png
3 - PUBF Left,"PUBF, left",5,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\PUBF__left_cycle_05_mhigh_not_reached_on_final_climb.png
3 - PUBF Left,"PUBF, left",6,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\PUBF__left_cycle_06_mhigh_not_reached_on_final_climb.png
3 - PUBF Left,"PUBF, left",7,mhigh_not_reached_on_final_climb,secant:mhigh_not_reached_on_final_climb,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\PUBF__left_cycle_07_mhigh_not_reached_on_final_climb.png
3 - PUBF Left,"PUBF, left",9,dtheta_too_small,secant:dtheta_too_small,C:\Projects\Smart_Instruments\Lamina_Spreader_Lab\Data_analysis\output\exclusion_examples\all_excluded_cycles_1to4\PUBF__left_cycle_09_dtheta_too_small.png
