file_name,intervention,cycle,F_peak_dyn_N,tip_span_mm,tip_at_peak_mm,tip_at_1Nm_mm,tip_at_4Nm_mm,k_1to4_n_per_mm,marker_reason
5 - FBF,FBF,1,59.4931184449997,9.538713270120386,9.238974653563043,3.8330174769269076,6.950287101611689,7.297949953623122,ok
5 - FBF,FBF,2,58.95733504799973,8.69729427327704,9.061279673774466,3.4354394540988626,6.2710583334022525,8.022826296913303,ok
5 - FBF,FBF,3,69.06537735999949,9.904136631423793,9.964157641798648,2.369639291434017,6.72776784046804,5.220056603869917,ok
5 - FBF,FBF,4,31.460320411999994,7.360652154635266,7.284586659753292,2.196357207679754,7.15168745380492,4.5909508716776735,ok
5 - FBF,FBF,5,34.87468722299732,6.988843808387797,6.397841817355472,1.2082795370286687,6.435236150483412,4.352375463446353,ok
5 - FBF,FBF,6,35.24667241499933,7.221760200462767,6.4592808200105845,0.6102794820588142,5.610993364348619,4.549286011636821,ok
5 - FBF,FBF,7,16.13451216700132,2.3318505552482685,0.3546883396931941,,,,fhigh_not_reached_on_final_climb
5 - FBF,FBF,8,61.327280899001074,6.855597257040226,5.444198094360067,0.28680479912505796,2.9669552856972996,8.488209086346714,ok
5 - FBF,FBF,9,65.15538448400049,7.522743339979055,8.809328641806566,3.0173657488264243,6.192983092616201,7.163859889286799,ok
5 - FBF,FBF,10,71.85696186799971,7.153967110544342,6.610031049948207,-0.36068187511440275,3.308508417766543,6.20019020464503,ok
