file_name,intervention,cycle,F_peak_dyn_N,tip_span_mm,tip_at_peak_mm,tip_at_1Nm_mm,tip_at_4Nm_mm,k_1to4_n_per_mm,marker_reason
3 - PUBF Left,"PUBF, left",1,32.83850072099976,7.068091490447443,6.583030691799358,1.0856742473387693,6.477323741784439,4.219428161332662,ok
3 - PUBF Left,"PUBF, left",2,35.21301516599944,3.4207502879415967,2.282991785484223,-0.8652209759388914,1.9702292359108113,8.023303536710081,ok
3 - PUBF Left,"PUBF, left",3,33.84575368800125,3.4631267261937557,2.9483181130318017,0.7324110308048152,2.885267768267262,10.567204643497973,ok
3 - PUBF Left,"PUBF, left",4,25.470932829999942,4.1156481458456184,3.9995727573797812,,,,fhigh_not_reached_on_final_climb
3 - PUBF Left,"PUBF, left",5,23.62728708700017,3.6283803529747987,3.0507392302363154,,,,fhigh_not_reached_on_final_climb
3 - PUBF Left,"PUBF, left",6,21.467635278999925,3.845758508063285,3.9857302931175584,,,,fhigh_not_reached_on_final_climb
3 - PUBF Left,"PUBF, left",7,30.074296154999733,2.9742740818450506,2.7765261699389416,,,,fhigh_not_reached_on_final_climb
3 - PUBF Left,"PUBF, left",8,44.19425242199997,3.610986728292189,1.9120346391843557,-0.6821236031110041,1.6353507765598718,9.816582186392905,ok
3 - PUBF Left,"PUBF, left",9,50.8970853029994,6.603115726906829,6.283869088936242,4.841285220623579,5.139701836412769,76.23462136227059,ok
4 - FUF Left,"FUF, left",1,51.1077583069996,8.276369318692018,7.299300176950219,0.5218705171085113,4.875370277778585,5.225606744812942,ok
4 - FUF Left,"FUF, left",2,50.501400366667255,8.589693208621119,7.624841997874985,1.770791669638406,5.465740967886115,6.156966138530741,ok
4 - FUF Left,"FUF, left",3,52.58140804400076,7.805137505219751,7.788695311911036,0.5641662503745808,5.62699444359095,4.493472194727272,ok
4 - FUF Left,"FUF, left",4,32.60561276000097,6.3871072774468916,6.605168708502823,0.6923199718675501,6.2365655592352045,4.103295453710296,ok
4 - FUF Left,"FUF, left",5,31.750129959999853,5.015575227849114,4.582875856343025,-0.42962856897555024,4.471959786766611,4.641286877191156,ok
4 - FUF Left,"FUF, left",7,37.019838039666496,6.5098733514589435,6.013765752158748,0.4617280677755506,5.261970479971982,4.739276844664512,ok
4 - FUF Left,"FUF, left",8,57.900872406332844,5.42688017684509,4.6995327535400335,0.6386632676526516,2.391315742409769,12.98014183676186,ok
4 - FUF Left,"FUF, left",9,57.67775908933262,4.887940018216928,1.670642036092909,-1.3305135701835333,-0.8195249245851742,44.5209064993207,ok
4 - FUF Left,"FUF, left",10,60.50501355999873,7.443297692445709,7.348622646238472,5.32506049842495,4.7302221533404145,,dx_too_small
5 - FBF,FBF,1,59.4931184449997,9.538713270120386,9.238974653563043,3.8330174769269076,6.950287101611689,7.297949953623122,ok
5 - FBF,FBF,2,58.95733504799973,8.69729427327704,9.061279673774466,3.4354394540988626,6.2710583334022525,8.022826296913303,ok
5 - FBF,FBF,3,69.06537735999949,9.904136631423793,9.964157641798648,2.369639291434017,6.72776784046804,5.220056603869917,ok
5 - FBF,FBF,4,31.460320411999994,7.360652154635266,7.284586659753292,2.196357207679754,7.15168745380492,4.5909508716776735,ok
5 - FBF,FBF,5,34.87468722299732,6.988843808387797,6.397841817355472,1.2082795370286687,6.435236150483412,4.352375463446353,ok
5 - FBF,FBF,6,35.24667241499933,7.221760200462767,6.4592808200105845,0.6102794820588142,5.610993364348619,4.549286011636821,ok
5 - FBF,FBF,7,16.13451216700132,2.3318505552482685,0.3546883396931941,,,,fhigh_not_reached_on_final_climb
5 - FBF,FBF,8,61.327280899001074,6.855597257040226,5.444198094360067,0.28680479912505796,2.9669552856972996,8.488209086346714,ok
5 - FBF,FBF,9,65.15538448400049,7.522743339979055,8.809328641806566,3.0173657488264243,6.192983092616201,7.163859889286799,ok
5 - FBF,FBF,10,71.85696186799971,7.153967110544342,6.610031049948207,-0.36068187511440275,3.308508417766543,6.20019020464503,ok
6 - Posterior Release,Posterior Release,1,71.82699186600014,10.484230999274944,9.903628977478512,2.4980829809803824,6.494870632725706,5.691990592235918,ok
6 - Posterior Release,Posterior Release,2,71.56011153733382,11.365445375592616,10.521481714908907,1.740155346076167,5.6769664019212955,5.778707027130952,ok
6 - Posterior Release,Posterior Release,3,79.27174298000091,10.587648161168932,9.149595363964137,0.13922634677264561,3.4011712770931997,6.974267867441722,ok
6 - Posterior Release,Posterior Release,4,40.09903287666676,9.685466168198158,8.622398440721662,1.8656547970743305,4.582286958141207,8.374220860274585,ok
6 - Posterior Release,Posterior Release,6,41.465765413333344,8.446259018746716,8.2953871230606,0.5319183679122027,7.342203794369343,3.3404881423206296,ok
6 - Posterior Release,Posterior Release,7,48.18911341766636,8.938171379448251,6.488379475446444,-1.85006736347548,1.3668716109441306,7.071839998768858,ok
6 - Posterior Release,Posterior Release,8,9.503724491001666,1.3711002128266263,-1.207726077470591,,,,fhigh_not_reached_on_final_climb
6 - Posterior Release,Posterior Release,9,92.57559136933307,11.097454664786328,10.704091912339875,-0.04382576695728348,3.596817574630435,6.248807031720312,ok
6 - Posterior Release,Posterior Release,10,101.67653505999962,12.803876841781321,12.796378032905892,0.27438793891227914,2.316437277912127,11.140611188190668,ok
6 - Posterior Release,Posterior Release,11,100.67048655066536,9.424741787520418,7.391836098230194,1.4140249588520575,-0.3318447279164752,,dx_too_small
6 - Posterior Release,Posterior Release,12,113.37280827799958,13.680574023551443,7.489907295092817,-0.21823344118001145,-0.11705748744648752,224.85261441485304,ok
7 - SPO,SPO,1,100.58646481166673,13.546289094527465,13.293588185525477,1.3819874638511909,6.128343722759625,4.793082624213092,ok
