cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
1,True,ok,8.074479765507512,-24.932244704979702,0.9735594368574971,49.0,4.22360246898591,3.413724966224117,7.637327435210027,7.111525257999952,40.075046441999916,strict_initial_window,2.1162703246329877,ok
2,True,ok,8.175084274687654,-20.618374152822007,0.9875430965551576,53.0,4.90065478599705,2.9180562115731012,7.818710997570151,5.225165228999773,44.68399108900034,strict_initial_window,2.0546155097494507,ok
3,True,ok,6.255179049844044,-10.246381397034032,0.9710292762525152,70.0,6.224883370633233,1.944707390114578,8.16959076074781,6.523728955000491,43.2675748099995,strict_initial_window,2.1269045918613005,ok
4,True,ok,3.4589696645455166,1.005814386546575,0.8108844969469279,56.0,2.2804538992309054,1.0370610562892992,3.317514955520205,4.632450880000047,14.259690508000954,fallback_initial_window,1.278905936560434,ok
5,True,ok,3.99354188630377,3.7443036743928513,0.9709735438678766,51.0,3.9188289421834805,1.0146210055786224,4.933449947762103,6.789075842997801,21.97674342599612,strict_initial_window,1.452900781429037,ok
6,True,ok,3.092323361473418,12.568065492137373,0.9630250988110427,34.0,3.645571895355322,1.6506590955628255,5.296230990918147,16.40154997899917,28.114110894998966,fallback_initial_window,1.2245831380224386,ok
7,False,no_valid_linear_window,,,,,,,,,,,1.0,ok
8,True,ok,9.39259798995699,5.052181525206894,0.9635197315853703,44.0,2.9943861911344434,1.5704359144988316,4.564822105633275,22.046569147002085,48.217547019000556,fallback_initial_window,2.804144038930507,ok
9,True,ok,6.571105721934887,-11.836906381954755,0.9748516750602341,38.0,3.295674514286987,3.015491110417843,6.31116562470483,7.26582923900108,33.92017058200163,strict_initial_window,2.598336067285604,ok
10,True,ok,8.058162988200024,6.2731081314477075,0.9827994267126625,48.0,4.435365907122624,1.1669692709088733,5.602335178031497,17.699382546000894,53.42257513200109,strict_initial_window,2.891846185145664,ok
