cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
1,True,ok,8.404928428802537,-23.317450878844863,0.9746114400481605,60.0,5.278109470476993,2.9686969382356594,8.246806408712652,8.705409257332906,48.50942762733358,strict_initial_window,2.229416940778899,ok
2,True,ok,6.813847382329701,-6.307214815821621,0.976150142536461,49.0,7.449877699617731,1.1005659581486578,8.550443657766388,5.81694,59.191783604332294,strict_initial_window,2.0935280571899155,ok
3,True,ok,7.308199998633238,5.889939514535392,0.9924273896774328,59.0,6.441793741153018,1.0480354635327551,7.489829204685773,15.4548038223311,63.36291003533194,strict_initial_window,2.3631352458779613,ok
4,True,ok,8.096347723143687,-3.2996728481145583,0.9720434269023731,24.0,2.165644869291568,1.9348146622831883,4.1004595315747565,11.3314216533339,28.028173700000167,strict_initial_window,1.2758827866790938,ok
6,True,ok,3.239457156109768,12.246207415102033,0.9512138923372785,29.0,3.620943763644438,1.0608103191643625,4.6817540828088005,15.592921430667156,26.505728449999744,fallback_initial_window,1.0728828244133992,ok
7,False,no_valid_linear_window,,,,,,,,,,,1.0088554426354561,ok
8,False,too_few_points_after_toe_cut,,,,,,,,,,,,
9,True,ok,7.656187029798745,1.4197563682285932,0.9874603066562664,72.0,7.634965850135311,1.089352441022983,8.724318291158294,12.163908443333199,68.7738260273338,strict_initial_window,2.506099801295725,ok
10,True,ok,6.860371068811799,13.454540752423283,0.9611786316192976,38.0,2.0197603543817855,1.2880901839643282,3.3078505383461136,20.819629108329796,34.29580676399893,fallback_initial_window,2.2617344301579463,ok
11,True,ok,8.224271672639102,34.3694297720457,0.9598180807966743,25.0,2.6122324572184743,1.0524709746770298,3.664703431895504,43.972246546333395,64.22829232399907,fallback_best_r2,2.6831507051239085,ok
12,True,ok,8.46578155277834,45.64819389787913,0.9720477417274198,45.0,2.968477937551211,4.508306216815173,7.476784154366384,80.47730786533143,111.65618282499975,strict_long_window,3.420813764066782,ok
