cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
1,True,ok,7.6834645331390625,-16.373605128455853,0.9873706460917373,44.0,8.08293302928166,2.624324321790704,10.707257351072364,9.974237470000247,69.02211989933303,strict_initial_window,2.2709491620704276,ok
2,True,ok,9.244360636499604,-25.280586817266745,0.9949612530493297,48.0,7.64588491982528,3.259398719768972,10.905283639594252,8.682077847666271,80.28071086599975,strict_initial_window,2.3046318027008286,ok
3,True,ok,8.223706110381361,-16.824108050201897,0.9726481119460785,52.0,8.504132570369066,2.5791401316323035,11.08327270200137,8.29791058066792,73.64287924066717,strict_initial_window,2.127442741468376,ok
4,True,ok,2.6741243889192874,7.798437410867739,0.9708022121217049,31.0,3.788184925088025,4.49100445457564,8.279189379663665,19.935630521335835,30.91362279666595,strict_long_window,1.0,ok
5,False,no_valid_linear_window,,,,,,,,,,,1.0,ok
6,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7,False,too_few_points_after_toe_cut,,,,,,,,,,,,
8,False,too_few_points_after_toe_cut,,,,,,,,,,,,
9,False,too_few_points_after_toe_cut,,,,,,,,,,,,
10,True,ok,3.123400582485692,-12.228143385993244,0.9707125481997457,25.0,4.934486924464082,3.279836605017319,8.214323529481401,0.0,12.629646947333862,strict_initial_window,1.0,ok
11,False,too_few_points_after_toe_cut,,,,,,,,,,,,
12,False,too_few_points_after_toe_cut,,,,,,,,,,,,
13,False,too_few_points_after_toe_cut,,,,,,,,,,,,
14,True,ok,16.83654822779639,-50.92719374095469,0.9702620363955741,20.0,2.0551901164879904,3.7699213097055804,5.825111426193571,16.831149173663437,45.487370819664825,strict_initial_window,2.0953102978167264,ok
15,True,ok,3.364288457340224,15.101432315207989,0.972587689477402,29.0,6.483276253727414,2.986698453339353,9.469974707066767,23.625443481668682,50.712184529331616,strict_initial_window,2.1188461640042817,ok
16,True,ok,4.558428131370385,14.094366137123052,0.9711822069059035,28.0,6.49324980714707,2.165960255537126,8.659210062684195,21.104424323333657,55.14703052866584,strict_initial_window,2.412325812090461,ok
