file_name,intervention,cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
2 - Intact Holding Longer,"intact, but holding",1,False,no_valid_linear_window,,,,,,,,,,,1.2830565946708792,ok
2 - Intact Holding Longer,"intact, but holding",2,False,no_valid_linear_window,,,,,,,,,,,3.729759578628404,ok
2 - Intact Holding Longer,"intact, but holding",3,False,no_valid_linear_window,,,,,,,,,,,3.735593707247897,ok
2 - Intact Holding Longer,"intact, but holding",4,True,ok,4.889267699719241,9.734758911944114,0.9088118387321912,129.0,2.565905990241,1.0503864319251184,3.616292422166118,14.077850120000576,26.584884982668203,fallback_initial_window,1.44494621641398,ok
2 - Intact Holding Longer,"intact, but holding",5,True,ok,5.591026336241617,1.5538127718429018,0.950793490384742,60.0,2.217709797513876,1.0051677125865537,3.222877510100429,7.335608366333362,18.43472991799908,fallback_initial_window,1.3044950714607724,ok
2 - Intact Holding Longer,"intact, but holding",6,True,ok,3.1795934285376664,9.229592221887676,0.9225317310938762,49.0,2.459232581273965,1.2033119443000784,3.6625445255740434,12.782444698666826,21.385364100999837,fallback_initial_window,1.0,ok
2 - Intact Holding Longer,"intact, but holding",7,True,ok,14.234752121289327,-11.59876719090897,0.8412256191868085,87.0,2.536710921212263,1.0790211596558683,3.6157320808681312,7.941864327667583,35.76737231733475,fallback_initial_window,3.020479901695256,ok
2 - Intact Holding Longer,"intact, but holding",8,False,too_few_points_after_toe_cut,,,,,,,,,,,,
2 - Intact Holding Longer,"intact, but holding",9,True,ok,8.539939041618247,-34.287705419442915,0.9485678085482204,69.0,2.0277062586643213,4.972268817331874,6.999975075996195,8.711987293334147,22.663703793333447,fallback_initial_window,1.0,ok
3 - PUBF Left,"PUBF, left",1,True,ok,2.358008395003134,6.172142943471379,0.9672039850738996,51.0,4.392997264391484,1.0871279532879188,5.480125217679403,7.58942264199967,19.09920213999984,fallback_initial_window,1.378249176540492,ok
3 - PUBF Left,"PUBF, left",2,False,no_valid_linear_window,,,,,,,,,,,3.3181195369533354,ok
3 - PUBF Left,"PUBF, left",3,True,ok,10.42983589697831,1.218839113015629,0.9825971482349752,104.0,2.0595160046992973,1.0016646681755923,3.06118067287489,12.181403035999043,33.84575368800125,strict_long_window,3.155743961576837,ok
3 - PUBF Left,"PUBF, left",4,True,ok,5.396590359391492,3.3362289886982506,0.9598434032651432,52.0,2.3730515923892908,1.0199381697868957,3.392989762176186,8.710035140000416,21.94367212000065,fallback_initial_window,1.687545623190652,ok
3 - PUBF Left,"PUBF, left",5,True,ok,4.036230030040896,10.101947206047427,0.9474825533441852,40.0,2.009442992561986,1.0412962376743296,3.0507392302363154,12.716960527999989,23.62728708700017,fallback_best_r2,1.7391208726718028,ok
3 - PUBF Left,"PUBF, left",6,True,ok,5.174222269979622,-0.6750558608872553,0.9778189264925942,44.0,2.319416129953244,1.055727980131542,3.3751441100847863,4.1575326199998885,16.31341746799958,strict_initial_window,1.7723640608350586,ok
3 - PUBF Left,"PUBF, left",7,False,no_valid_linear_window,,,,,,,,,,,3.852229147260565,ok
3 - PUBF Left,"PUBF, left",8,False,no_valid_linear_window,,,,,,,,,,,4.360683861970273,ok
3 - PUBF Left,"PUBF, left",9,True,ok,7.062382069391815,-6.716888154638417,0.9046654245693222,50.0,2.4533510585190315,3.001056723390169,5.4544077819092,15.469208996000496,35.3249852960001,fallback_initial_window,2.6623972706793038,ok
4 - FUF Left,"FUF, left",1,True,ok,7.952315912438054,-9.27949769691886,0.9721856151259588,56.0,4.258596944389016,1.7943274057924323,6.052924350181448,9.577002743000117,38.64705645699932,strict_initial_window,2.105088577239985,ok
4 - FUF Left,"FUF, left",2,True,ok,9.76419279766602,-23.984713302574065,0.9829791858990784,61.0,3.1306493261573034,3.698653994835853,6.829303320993156,10.582227415999562,41.98551745599997,strict_initial_window,2.0116264579384726,ok
4 - FUF Left,"FUF, left",3,True,ok,4.026210658218968,1.8114867938007144,0.9756465357027072,22.0,2.82344505164048,2.350094874228877,5.173539925869357,12.104928704334608,23.643784055663644,strict_initial_window,1.8618482489284185,ok
4 - FUF Left,"FUF, left",4,True,ok,3.4310224794222184,9.611350735752229,0.9531931177915572,99.0,3.9568550952027,1.5437891168952895,5.500644212097989,13.114360433333204,28.407402600000463,fallback_initial_window,1.255485536325088,ok
4 - FUF Left,"FUF, left",5,True,ok,3.7076423035731256,12.715825154148204,0.838394045015042,29.0,2.225518901300235,1.1521161807690867,3.3776350820693217,15.866044533333596,24.053229266333883,fallback_initial_window,1.388970979788228,ok
4 - FUF Left,"FUF, left",7,True,ok,3.93433672798717,7.332648465020821,0.9456251599448854,50.0,3.972050873042003,1.0318450733309652,5.003895946372968,12.097461438666526,27.67849056899975,fallback_initial_window,1.5007691736391149,ok
4 - FUF Left,"FUF, left",8,True,ok,9.369567177936908,10.313268949408636,0.9753056515682932,45.0,2.9372110084548773,1.0017389823820009,3.9389499908368784,19.91805952366577,46.688924299666056,strict_initial_window,3.0740185280872123,ok
4 - FUF Left,"FUF, left",9,False,no_valid_linear_window,,,,,,,,,,,4.064638002786867,ok
4 - FUF Left,"FUF, left",10,True,ok,19.18511914913247,-60.14273661154985,0.9547234810453268,50.0,2.015686929441165,3.791671689592535,5.8073586190337,17.899284263332817,47.17201372266348,fallback_initial_window,2.8242622225705527,ok
5 - FBF,FBF,1,True,ok,8.074479765507512,-24.932244704979706,0.9735594368574972,49.0,4.22360246898591,3.413724966224117,7.637327435210027,7.111525257999952,40.07504644199992,strict_initial_window,2.116270324632988,ok
5 - FBF,FBF,2,True,ok,8.175084274687654,-20.618374152822007,0.9875430965551576,53.0,4.90065478599705,2.918056211573101,7.818710997570151,5.225165228999773,44.68399108900034,strict_initial_window,2.0546155097494507,ok
5 - FBF,FBF,3,True,ok,6.255179049844044,-10.246381397034032,0.9710292762525152,70.0,6.224883370633233,1.944707390114578,8.16959076074781,6.523728955000491,43.2675748099995,strict_initial_window,2.1269045918613005,ok
5 - FBF,FBF,4,True,ok,3.458969664545517,1.005814386546575,0.8108844969469279,56.0,2.2804538992309054,1.0370610562892992,3.317514955520205,4.632450880000047,14.259690508000954,fallback_initial_window,1.278905936560434,ok
5 - FBF,FBF,5,True,ok,3.99354188630377,3.7443036743928513,0.9709735438678766,51.0,3.918828942183481,1.0146210055786224,4.933449947762103,6.789075842997801,21.97674342599612,strict_initial_window,1.452900781429037,ok
5 - FBF,FBF,6,True,ok,3.092323361473418,12.568065492137372,0.9630250988110428,34.0,3.645571895355322,1.6506590955628255,5.296230990918147,16.40154997899917,28.11411089499897,fallback_initial_window,1.2245831380224386,ok
5 - FBF,FBF,7,False,no_valid_linear_window,,,,,,,,,,,1.0,ok
5 - FBF,FBF,8,True,ok,9.39259798995699,5.052181525206894,0.9635197315853704,44.0,2.994386191134444,1.5704359144988316,4.564822105633275,22.046569147002085,48.21754701900056,fallback_initial_window,2.804144038930507,ok
5 - FBF,FBF,9,True,ok,6.571105721934887,-11.836906381954757,0.974851675060234,38.0,3.295674514286987,3.015491110417843,6.31116562470483,7.26582923900108,33.92017058200163,strict_initial_window,2.598336067285604,ok
