file_name,intervention,cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
2 - Intact Holding Longer,"intact, but holding",1,False,no_valid_linear_window,,,,,,,,,,,1.2830565946708792,ok
2 - Intact Holding Longer,"intact, but holding",2,False,no_valid_linear_window,,,,,,,,,,,3.729759578628404,ok
2 - Intact Holding Longer,"intact, but holding",3,False,no_valid_linear_window,,,,,,,,,,,3.735593707247897,ok
2 - Intact Holding Longer,"intact, but holding",4,True,ok,4.664397716701272,10.225671798925458,0.9142184819994136,148.0,3.220042257245656,1.0503864319251184,4.270428689170775,14.077850120000576,29.587143041001383,fallback_best_r2,1.44494621641398,ok
2 - Intact Holding Longer,"intact, but holding",5,True,ok,2.034044265317521,11.055333722760135,0.9547619188426496,58.0,2.9188360348272018,2.2381116035693758,5.156947638396577,14.960626821665509,22.052835776334085,fallback_best_r2,1.3044950714607724,ok
2 - Intact Holding Longer,"intact, but holding",6,True,ok,2.934635600136021,9.743062034610915,0.9620715062916044,79.0,2.9464371237490816,1.2033119443000784,4.14974906804916,12.782444698666826,21.385364100999837,fallback_best_r2,1.0,ok
2 - Intact Holding Longer,"intact, but holding",7,True,ok,7.810931939945616,7.815849972248737,0.9796439034277185,85.0,2.004153087811415,2.259206670357148,4.263359758168563,23.473958359000875,40.002633451001024,strict_long_window,3.020479901695256,ok
2 - Intact Holding Longer,"intact, but holding",8,False,too_few_points_after_toe_cut,,,,,,,,,,,,
2 - Intact Holding Longer,"intact, but holding",9,True,ok,8.539939041618247,-34.287705419442915,0.9485678085482204,69.0,2.0277062586643213,4.972268817331874,6.999975075996195,8.711987293334147,22.663703793333447,fallback_best_r2,1.0,ok
3 - PUBF Left,"PUBF, left",1,True,ok,2.3561073101975443,6.176941210134458,0.9701039595745572,56.0,4.421600543572104,1.0871279532879188,5.508728496860022,7.58942264199967,19.09920213999984,strict_long_window,1.378249176540492,ok
3 - PUBF Left,"PUBF, left",2,False,no_valid_linear_window,,,,,,,,,,,3.3181195369533354,ok
3 - PUBF Left,"PUBF, left",3,True,ok,10.42983589697831,1.218839113015629,0.9825971482349752,104.0,2.0595160046992973,1.0016646681755923,3.06118067287489,12.181403035999043,33.84575368800125,strict_long_window,3.155743961576837,ok
3 - PUBF Left,"PUBF, left",4,True,ok,5.383685991371838,3.3357043243335984,0.9763245701308984,87.0,2.9796345875928854,1.0199381697868957,3.999572757379781,8.710035140000416,25.470932829999946,strict_long_window,1.687545623190652,ok
3 - PUBF Left,"PUBF, left",5,True,ok,4.036230030040896,10.101947206047427,0.9474825533441852,40.0,2.009442992561986,1.0412962376743296,3.0507392302363154,12.716960527999989,23.62728708700017,fallback_best_r2,1.7391208726718028,ok
3 - PUBF Left,"PUBF, left",6,True,ok,5.5249782036122905,-1.4105517567918795,0.9772280656643856,90.0,2.9300023129860167,1.055727980131542,3.9857302931175584,4.1575326199998885,21.467635278999925,strict_long_window,1.7723640608350586,ok
3 - PUBF Left,"PUBF, left",7,False,no_valid_linear_window,,,,,,,,,,,3.852229147260565,ok
3 - PUBF Left,"PUBF, left",8,False,no_valid_linear_window,,,,,,,,,,,4.360683861970273,ok
3 - PUBF Left,"PUBF, left",9,True,ok,11.85307128224724,-26.70329329802362,0.97090103895385,113.0,3.4178942307686,3.201572362136734,6.619466592905334,17.674006950000297,50.8970853029994,strict_long_window,2.6623972706793038,ok
4 - FUF Left,"FUF, left",1,True,ok,7.633001930060765,-7.174994277134214,0.9817429538234008,98.0,6.175337900386068,1.123962276564151,7.299300176950219,7.775647391333386,51.1077583069996,strict_long_window,2.105088577239985,ok
4 - FUF Left,"FUF, left",2,True,ok,9.754774178076913,-23.974431134792276,0.9927647014526552,101.0,3.9261880030391327,3.698653994835853,7.624841997874985,10.582227415999562,50.501400366667255,strict_long_window,2.0116264579384726,ok
4 - FUF Left,"FUF, left",3,True,ok,8.149639219750332,-12.389310232035044,0.9718885750291169,108.0,5.770250345019318,2.0184449668917184,7.788695311911036,11.863988663000802,52.58140804400076,strict_long_window,1.8618482489284185,ok
4 - FUF Left,"FUF, left",4,True,ok,3.246739135360615,10.14547697700411,0.9684342106260004,158.0,5.061379591607533,1.5437891168952895,6.605168708502823,13.114360433333204,32.60561276000097,fallback_best_r2,1.255485536325088,ok
4 - FUF Left,"FUF, left",5,True,ok,1.351133024507171,18.964296045393645,0.88428133649189,31.0,2.356344677122425,2.0511522196075056,4.40749689672993,20.657580037999733,25.82765330366734,fallback_best_r2,1.388970979788228,ok
4 - FUF Left,"FUF, left",7,True,ok,6.120474828820482,-1.5072548273335802,0.968662239578475,56.0,2.3158981075549367,3.6789216754023895,5.994819782957326,20.822348061999843,35.89351467199982,fallback_best_r2,1.5007691736391149,ok
4 - FUF Left,"FUF, left",8,True,ok,9.687483711863086,9.63781240374548,0.9889917376567128,99.0,3.7068234171934185,1.0017389823820009,4.70856239957542,19.91805952366577,57.90087240633285,strict_long_window,3.0740185280872123,ok
4 - FUF Left,"FUF, left",9,False,no_valid_linear_window,,,,,,,,,,,4.064638002786867,ok
4 - FUF Left,"FUF, left",10,True,ok,19.18511914913247,-60.14273661154985,0.9547234810453268,50.0,2.015686929441165,3.791671689592535,5.8073586190337,17.899284263332817,47.17201372266348,fallback_best_r2,2.8242622225705527,ok
5 - FBF,FBF,1,True,ok,9.326479455830924,-30.410681461246774,0.9723762029308116,106.0,6.691680620767853,2.5981756083868377,9.28985622915469,6.35705304100003,59.4931184449997,strict_long_window,2.116270324632988,ok
5 - FBF,FBF,2,True,ok,8.9925647289501,-25.110830363772312,0.9809898697547688,108.0,6.152585051358437,2.918056211573101,9.070641262931538,5.225165228999773,58.95733504799973,strict_long_window,2.0546155097494507,ok
5 - FBF,FBF,3,True,ok,8.048509219363982,-19.407899495222157,0.9701724886919852,97.0,7.569721019819545,2.3464427101045016,9.916163729924046,7.429139169999747,66.0616586499994,strict_long_window,2.1269045918613005,ok
5 - FBF,FBF,4,True,ok,5.774497285046797,-10.655966554049364,0.9508040491552736,142.0,2.5749626213202497,4.755259354407524,7.330221975727773,14.56233598900026,31.460320411999994,fallback_best_r2,1.278905936560434,ok
5 - FBF,FBF,5,True,ok,3.99354188630377,3.7443036743928513,0.9709735438678766,51.0,3.918828942183481,1.0146210055786224,4.933449947762103,6.789075842997801,21.97674342599612,strict_long_window,1.452900781429037,ok
5 - FBF,FBF,6,True,ok,3.75640645906989,10.137529959179208,0.9716970574319048,62.0,5.374721610677208,1.0845592093333765,6.4592808200105845,13.307360894998968,35.24667241499933,strict_long_window,1.2245831380224386,ok
5 - FBF,FBF,7,False,no_valid_linear_window,,,,,,,,,,,1.0,ok
5 - FBF,FBF,8,True,ok,9.833567879895968,4.483637462943242,0.9743581809949512,91.0,4.333653179326407,1.1105449150336602,5.444198094360067,20.8199884669998,61.327280899001074,strict_long_window,2.804144038930507,ok
5 - FBF,FBF,9,True,ok,9.094007788850242,-22.255176554915057,0.973317039655064,94.0,5.831461156865853,2.9778674849407127,8.809328641806566,2.6276227590009267,65.15538448400049,strict_long_window,2.598336067285604,ok
