file_name,intervention,cycle,valid,reason,k_linear_nm_per_deg,r2,fit_span_deg,fit_selection_mode
2 - Intact Holding Longer,"intact, but holding",1,False,no_valid_linear_window,,,,
2 - Intact Holding Longer,"intact, but holding",2,False,no_valid_linear_window,,,,
2 - Intact Holding Longer,"intact, but holding",3,False,no_valid_linear_window,,,,
2 - Intact Holding Longer,"intact, but holding",4,True,ok,1.483929254189911,0.9088118387321911,1.1148523839246642,fallback_initial_window
2 - Intact Holding Longer,"intact, but holding",5,True,ok,1.696918240286086,0.950793490384742,0.9635657206518349,fallback_initial_window
2 - Intact Holding Longer,"intact, but holding",6,True,ok,0.965030347041128,0.9225317310938762,1.068504191613418,fallback_initial_window
2 - Intact Holding Longer,"intact, but holding",7,True,ok,4.32035355726914,0.8412256191868086,1.1021675106559927,fallback_initial_window
2 - Intact Holding Longer,"intact, but holding",8,False,too_few_points_after_toe_cut,,,,
2 - Intact Holding Longer,"intact, but holding",9,True,ok,2.5919352653943606,0.9485678085482204,0.8810116835802537,fallback_initial_window
3 - PUBF Left,"PUBF, left",1,True,ok,0.7156731547285667,0.9672039850738994,1.908699496945084,fallback_initial_window
3 - PUBF Left,"PUBF, left",2,False,no_valid_linear_window,,,,
3 - PUBF Left,"PUBF, left",3,True,ok,3.165533072532507,0.9825971482349751,0.8948325995974457,strict_long_window
3 - PUBF Left,"PUBF, left",4,True,ok,1.6379054694919113,0.9598434032651432,1.0310596861356314,fallback_initial_window
3 - PUBF Left,"PUBF, left",5,True,ok,1.2250259519562503,0.9474825533441852,0.8730765348141342,fallback_best_r2
3 - PUBF Left,"PUBF, left",6,True,ok,1.5704150939709431,0.9778189264925942,1.0077557835814648,strict_initial_window
3 - PUBF Left,"PUBF, left",7,False,no_valid_linear_window,,,,
3 - PUBF Left,"PUBF, left",8,False,no_valid_linear_window,,,,
3 - PUBF Left,"PUBF, left",9,True,ok,2.1434856916586105,0.9046654245693222,1.0659487473807048,fallback_initial_window
4 - FUF Left,"FUF, left",1,True,ok,2.4135872580068383,0.9721856151259587,1.850304326691432,strict_initial_window
4 - FUF Left,"FUF, left",2,True,ok,2.9635054216481267,0.9829791858990784,1.3602259310251654,strict_initial_window
4 - FUF Left,"FUF, left",3,True,ok,1.2219849977953603,0.9756465357027072,1.2267497167369092,strict_initial_window
4 - FUF Left,"FUF, left",4,True,ok,1.0413409413622816,0.9531931177915571,1.7192014643205447,fallback_initial_window
