Intervention,Motion,Book,RampStartIdx,RampPeakIdx,M_peak_dyn_Nm,theta_peak_rel_deg,k_sec_signed_Nm_per_deg,k_sec_abs_Nm_per_deg,theta_low_deg,theta_high_deg,valid_secant
Intact,Flexion/Extension,4,0,147,15.425,21.884,2.3650570644735827,2.3650570644735827,0.05710128388017129,1.3255696202531644,True
Intact,Lateral Bending,5,0,96,16.055,14.082,2.27426346698469,2.27426346698469,0.12906870229007616,1.4481770833333334,True
Intact,Axial Rotation,6,0,41,16.718,5.821999999999999,4.312241654640178,4.312241654640178,0.052124331550801886,0.7478181818181813,True
PUBF Left,Flexion/Extension,7,0,150,15.564,22.28,2.245674991951703,2.245674991951703,0.10915139442230994,1.4450526315789465,True
PUBF Left,Lateral Bending,8,0,104,15.871,15.37,1.9506548953072484,1.9506548953072484,0.1483999999999994,1.686345029239766,True
PUBF Left,Axial Rotation,9,0,50,16.442,7.167999999999999,3.722319903016616,3.722319903016616,0.05868940493468791,0.8646384039900247,True
FUF Left,Flexion/Extension,10,0,157,16.051000000000002,23.253999999999998,2.4746602789121295,2.4746602789121295,0.10068674698795102,1.3129743589743577,True
FUF Left,Lateral Bending,11,0,107,15.825,15.733,2.0205885258814855,2.0205885258814855,0.13323611111111022,1.61795205479452,True
FUF Left,Axial Rotation,12,0,53,16.451,7.628,3.5177383684754715,3.5177383684754715,0.08042989214175594,0.9332505643340854,True
FBF,Flexion/Extension,13,0,158,15.745000000000001,23.555,2.5591825514313467,2.5591825514313467,0.10639491298527352,1.2786442307692294,True
FBF,Lateral Bending,14,0,111,15.873999999999999,16.332,1.9277625489795804,1.9277625489795804,0.15817318435754202,1.7143814432989688,True
FBF,Axial Rotation,15,0,76,16.383,11.17,2.766814364157232,2.766814364157232,0.1256764168190133,1.2099558823529417,True
Posterior Release,Flexion/Extension,16,0,165,15.596,24.536,2.296369835833206,2.296369835833206,0.14524191063174224,1.4516516853932588,True
Posterior Release,Lateral Bending,17,0,114,15.695,16.78,1.6490592483665907,1.6490592483665907,0.2342692307692315,2.053488281250001,True
Posterior Release,Axial Rotation,18,0,78,16.076,11.376,2.7126228762045126,2.7126228762045126,0.12809340659340585,1.2340340909090908,True
SPO,Flexion/Extension,19,0,191,15.487,28.481,1.63124974670035,1.63124974670035,0.1889192546583856,2.0280000000000005,True
SPO,Lateral Bending,20,0,119,15.64,17.624,1.5944551720249756,1.5944551720249756,0.1726795580110489,2.0541999999999994,True
SPO,Axial Rotation,21,0,81,16.384999999999998,11.917000000000002,2.729331423767206,2.729331423767206,0.12748014440433267,1.2266504297994274,True
