intervention,cycle,f_start_dyn_N,theta_start_rel_deg,f_peak_dyn_N
"intact, but holding",1,0.0,0.04607859923116531,49.936241395000486
"intact, but holding",2,0.0,0.24532649527898975,48.53488814366764
"intact, but holding",3,0.0,-1.1638283222376697,51.68001824799935
"intact, but holding",4,0.0,0.13075281635080593,29.587143041001386
"intact, but holding",5,0.0,0.5623273288557726,26.635530661999365
"intact, but holding",6,0.0,-0.048469876693044145,21.74487792466654
"intact, but holding",7,0.0,-0.22849231268404335,40.002633451001024
"intact, but holding",8,0.0,0.22347293482003708,42.66196930633416
"intact, but holding",9,0.0,0.5497945597798855,36.10215680333336
"PUBF, left",1,0.0,-0.018736219580954255,32.83850072099976
"PUBF, left",2,0.0,-0.09842317178231064,35.21301516599944
"PUBF, left",3,0.0,-0.7293835869319893,33.84575368800125
"PUBF, left",4,0.0,-0.02513413274566173,25.470932829999942
"PUBF, left",5,0.0,0.048279771889783996,23.62728708700017
"PUBF, left",6,0.0,-0.09584695702964441,21.467635278999925
"PUBF, left",7,0.0,0.026244871177858287,30.074296154999733
"PUBF, left",8,0.0,0.0402765525542752,44.19425242199997
"PUBF, left",9,0.0,-0.5965323822912444,50.8970853029994
"FUF, left",1,0.0,0.08210897920658783,51.1077583069996
"FUF, left",2,0.0,0.30453463849133894,50.501400366667255
"FUF, left",3,0.0,-0.2535307351802541,52.58140804400076
"FUF, left",4,0.0,-0.13758261644157488,32.60561276000097
"FUF, left",5,0.0,-0.0007985662577959796,31.750129959999853
"FUF, left",7,0.0,-0.12098629276312578,37.019838039666496
"FUF, left",8,0.0,0.11329622830759684,57.900872406332844
"FUF, left",9,0.0,0.7061928683364702,57.67775908933262
"FUF, left",10,0.0,-0.31074590966308124,60.50501355999873
FBF,1,0.0,-1.1758659390860036,59.4931184449997
FBF,2,0.0,-0.8401568723270645,58.95733504799973
FBF,3,0.0,-0.4613159770348824,69.06537735999949
FBF,4,0.0,-0.16103252751388175,31.460320411999994
FBF,5,0.0,-0.09237225277147781,34.87468722299732
FBF,6,0.0,0.11537619858097814,35.24667241499933
FBF,7,0.0,-0.19134884026743448,16.13451216700132
FBF,8,0.0,-0.19134884026743448,61.327280899001074
FBF,9,0.0,-0.7735886337201539,65.15538448400049
FBF,10,0.0,-0.7952303316733744,71.85696186799971
Posterior Release,1,0.0,-0.0003752076338985888,71.82699186600014
Posterior Release,2,0.0,0.10184643641965449,71.56011153733382
Posterior Release,3,0.0,0.6136689572832063,79.27174298000091
Posterior Release,4,0.0,0.26772019404990427,40.09903287666676
Posterior Release,6,0.0,-0.18965031978450092,41.465765413333344
Posterior Release,7,0.0,0.13741264389339675,48.18911341766636
Posterior Release,8,0.0,0.3824499025757415,9.503724491001666
Posterior Release,9,0.0,0.21459551620093126,92.57559136933307
Posterior Release,10,0.0,-0.5065081127034371,101.67653505999962
Posterior Release,11,0.0,0.04682340532159979,100.67048655066536
Posterior Release,12,0.0,1.4399008865082839,113.37280827799958
SPO,1,0.0,0.11578327611756156,100.58646481166673
SPO,2,0.0,0.15324638840141772,107.0636280046669
SPO,3,0.0,0.04850886231914428,96.59808616933364
SPO,4,0.0,-0.16325455253301424,36.830175302666674
SPO,5,0.0,-0.28286413028492774,14.231523393333358
SPO,6,0.0,0.023121666018287357,3.4452161609985446
SPO,7,0.0,0.02448954678305526,4.981909994997981
SPO,8,0.0,0.023853759825989584,2.206350197667266
SPO,9,0.0,0.01940611758562838,3.4129780003315346
SPO,10,0.0,-1.3388641191794752,21.042533708333117
SPO,11,0.0,0.04169967306124178,2.115236723332977
SPO,12,0.0,0.035948745989614395,6.280240493332784
SPO,13,0.0,0.035948745989614395,6.280240493332784
SPO,14,0.0,-0.8927538043886387,84.1582908093316
SPO,15,0.0,0.04105054549128859,94.29953483266435
SPO,16,0.0,0.13789959456366055,91.80261730699982
