file_name,intervention,cycle,lag_s,theta0_deg,F_peak_N,M_peak_Nm,F_eng_N,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
2 - Intact Holding Longer,"intact, but holding",1,10.766666666666653,-0.5808139799509149,53.030345845000134,7.371218072455019,12.0,2.0,5.0,0.09959974200997548,0.415197456167575,9.505772270904012,True
2 - Intact Holding Longer,"intact, but holding",2,10.766666666666653,-0.5808139799509149,52.037103426000456,7.233157376214064,12.0,2.0,5.0,0.007197854400277374,0.14946992034649587,21.08635999658609,True
2 - Intact Holding Longer,"intact, but holding",3,10.766666666666653,-0.5808139799509149,52.80559325266652,7.339977462120646,12.0,2.0,5.0,-0.16995375787759226,0.3023627536439075,6.3516729286806655,True
2 - Intact Holding Longer,"intact, but holding",4,10.766666666666653,-0.5808139799509149,32.04588466766701,4.454377968805715,12.0,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",5,10.766666666666653,-0.5808139799509149,28.172468371999745,3.9159731037079646,12.0,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",6,10.766666666666653,-0.5808139799509149,26.002556486666833,3.61435535164669,12.0,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",7,10.766666666666653,-0.5808139799509149,41.90660723366684,5.825018405479691,12.0,2.0,5.0,0.19956354075349444,0.7070208873750975,5.911826915055025,True
2 - Intact Holding Longer,"intact, but holding",8,10.766666666666653,-0.5808139799509149,47.119678955000026,6.549635374745004,12.0,2.0,5.0,-0.07155332367371471,0.9090279171910127,3.0594099448144085,True
2 - Intact Holding Longer,"intact, but holding",9,10.766666666666653,-0.5808139799509149,42.44790680333336,5.900259045663337,12.0,2.0,5.0,-0.07429999007975285,1.6273467431009256,1.7629981249941753,True
3 - PUBF Left,"PUBF, left",1,12.24999999999999,-0.5923902805897615,34.225080760999944,4.757286225778992,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",2,12.24999999999999,-0.5923902805897615,34.91876440599888,4.853708252433844,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",3,12.24999999999999,-0.5923902805897615,36.012887232001574,5.005791325248219,12.0,2.0,5.0,-0.06059363906264282,0.8158817071421894,3.4228002110842035,True
3 - PUBF Left,"PUBF, left",4,12.24999999999999,-0.5923902805897615,30.53209186999995,4.243960769929993,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",5,12.24999999999999,-0.5923902805897615,22.92992934000004,3.1872601782600056,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",6,12.24999999999999,-0.5923902805897615,25.18469,3.50067191,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",7,12.24999999999999,-0.5923902805897615,33.12376101000009,4.604202780390012,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",8,12.24999999999999,-0.5923902805897615,45.5480204219988,6.331174838657833,12.0,2.0,5.0,0.01845117684090747,0.9987590669950628,3.06026303585932,True
3 - PUBF Left,"PUBF, left",9,12.24999999999999,-0.5923902805897615,51.7296500069993,7.190421350972903,12.0,2.0,5.0,-0.29546413233982877,0.7776342260645672,2.7956430801559877,True
4 - FUF Left,"FUF, left",1,17.53333333333332,-0.6200340572978378,49.921286913333525,6.93905888095336,12.0,2.0,5.0,0.09176978509657187,1.2350928222329074,2.6239303351343786,True
4 - FUF Left,"FUF, left",2,17.53333333333332,-0.6200340572978378,50.48350291733401,7.017206905509427,12.0,2.0,5.0,0.025186138765757118,1.1085912652152448,2.7690472628937397,True
4 - FUF Left,"FUF, left",3,17.53333333333332,-0.6200340572978378,49.56981034633378,6.890203638140396,12.0,2.0,5.0,0.17305343578017812,1.2789020567533043,2.712848705603174,True
4 - FUF Left,"FUF, left",4,17.53333333333332,-0.6200340572978378,33.49984917333412,4.656479035093443,12.0,2.0,5.0,,,,False
4 - FUF Left,"FUF, left",5,17.53333333333332,-0.6200340572978378,34.135298293333186,4.744806462773313,12.0,2.0,5.0,,,,False
