file_name,intervention,n_cycles,n_valid,k_sec_med_Nm_per_deg,k_sec_q25_Nm_per_deg,k_sec_q75_Nm_per_deg,rank_k_sec,M_low_Nm,M_high_Nm,window
2 - Intact Holding Longer,"intact, but holding",9,2,1.011875897313256,0.8847351490006157,1.139016645625896,5.0,1.0,1.5,1.0-1.5
3 - PUBF Left,"PUBF, left",9,3,1.248441186035247,1.236435317875288,1.3591355210413578,2.0,1.0,1.5,1.0-1.5
4 - FUF Left,"FUF, left",9,5,1.293316590425976,0.5952036608331974,1.4209878976952635,1.0,1.0,1.5,1.0-1.5
5 - FBF,FBF,10,3,1.1212983021338314,0.9501837400098022,1.25092579924099,4.0,1.0,1.5,1.0-1.5
6 - Posterior Release,Posterior Release,11,3,1.1338494084027773,0.8965704590195227,1.176905637254615,3.0,1.0,1.5,1.0-1.5
7 - SPO,SPO,16,5,0.9607009389242153,0.6756068032396804,1.0245075134270274,6.0,1.0,1.5,1.0-1.5
2 - Intact Holding Longer,"intact, but holding",9,6,2.4844104516460295,1.65206531321948,2.723094354898559,1.0,1.0,2.0,1.0-2.0
3 - PUBF Left,"PUBF, left",9,5,1.56953474935208,1.551881493979429,1.9481971163483054,4.0,1.0,2.0,1.0-2.0
4 - FUF Left,"FUF, left",9,6,1.3101382051883,0.9268719312096566,1.7087252742302865,5.0,1.0,2.0,1.0-2.0
5 - FBF,FBF,10,8,1.9335268432130117,1.6635027569426484,2.16048256131845,3.0,1.0,2.0,1.0-2.0
6 - Posterior Release,Posterior Release,11,6,1.9674822433000005,1.1702180778600166,2.652106591595461,2.0,1.0,2.0,1.0-2.0
7 - SPO,SPO,16,6,0.9931984089124798,0.7945375538648208,1.5068627194304622,6.0,1.0,2.0,1.0-2.0
2 - Intact Holding Longer,"intact, but holding",9,5,1.4810360969276568,1.2414531770012491,1.9725444742804639,4.0,1.0,2.5,1.0-2.5
3 - PUBF Left,"PUBF, left",9,7,1.8519846154576947,1.5132641279224113,2.6714678651544475,3.0,1.0,2.5,1.0-2.5
4 - FUF Left,"FUF, left",9,6,1.1780781915886318,1.020383682567144,1.4228978956369343,6.0,1.0,2.5,1.0-2.5
5 - FBF,FBF,10,8,2.043270183479912,1.3434390510611105,2.1718079572119717,2.0,1.0,2.5,1.0-2.5
6 - Posterior Release,Posterior Release,11,8,2.101932409065545,1.7158545919918842,3.4562241514175978,1.0,1.0,2.5,1.0-2.5
7 - SPO,SPO,16,8,1.4676027063473949,1.0076268368246082,2.163871941508317,5.0,1.0,2.5,1.0-2.5
2 - Intact Holding Longer,"intact, but holding",9,5,2.268147068142818,1.4152987547973217,2.6660834374145366,1.0,1.0,3.0,1.0-3.0
3 - PUBF Left,"PUBF, left",9,7,2.23429873918824,1.559899521184203,3.52385871711593,2.0,1.0,3.0,1.0-3.0
4 - FUF Left,"FUF, left",9,7,1.331422188819362,1.2949406557190155,1.4805395361343465,6.0,1.0,3.0,1.0-3.0
5 - FBF,FBF,10,9,2.0292182678673916,1.5125702778837953,2.105643001882313,3.0,1.0,3.0,1.0-3.0
6 - Posterior Release,Posterior Release,11,8,1.8991703835422031,1.7674730529798923,3.69125974150773,4.0,1.0,3.0,1.0-3.0
7 - SPO,SPO,16,7,1.5078694342272772,1.2211074442347054,1.6112699541783557,5.0,1.0,3.0,1.0-3.0
2 - Intact Holding Longer,"intact, but holding",9,5,1.6850889476589537,1.5143350989007935,3.0083338077046933,4.0,1.0,3.5,1.0-3.5
3 - PUBF Left,"PUBF, left",9,5,2.8320974939763004,2.1457761143587453,3.0851101680490327,1.0,1.0,3.5,1.0-3.5
4 - FUF Left,"FUF, left",9,7,1.3869098368057908,1.2729698760671702,1.5802511353448163,6.0,1.0,3.5,1.0-3.5
5 - FBF,FBF,10,9,1.8956848612768984,1.525905343931514,2.0349945061957886,3.0,1.0,3.5,1.0-3.5
6 - Posterior Release,Posterior Release,11,8,1.9808528022679108,1.684907554328143,2.934156345184949,2.0,1.0,3.5,1.0-3.5
