M_low_Nm,M_high_Nm,window,rank_corr_vs_baseline_1to4,top_ranked_intervention,mean_valid_cycles
1.0,1.5,1.0-1.5,-0.2,"FUF, left",0.332723063973064
1.0,2.0,1.0-2.0,0.7714285714285715,"intact, but holding",0.6015572390572391
1.0,2.5,1.0-2.5,0.48571428571428577,Posterior Release,0.6712121212121213
1.0,3.0,1.0-3.0,0.942857142857143,"intact, but holding",0.6959806397306397
1.0,3.5,1.0-3.5,0.6571428571428573,"PUBF, left",0.6589436026936027
1.0,4.0,1.0-4.0,1.0,"intact, but holding",0.6404250841750841
1.5,2.0,1.5-2.0,0.2,FBF,0.1994107744107744
1.5,2.5,1.5-2.5,0.3714285714285715,"PUBF, left",0.5934553872053873
1.5,3.0,1.5-3.0,0.7142857142857143,"PUBF, left",0.6808291245791246
1.5,3.5,1.5-3.5,0.028571428571428574,"PUBF, left",0.662310606060606
1.5,4.0,1.5-4.0,0.942857142857143,"PUBF, left",0.6404250841750841
2.0,2.5,2.0-2.5,-0.5337449961641163,"FUF, left",0.32312710437710435
2.0,3.0,2.0-3.0,-0.2571428571428572,FBF,0.6401094276094276
2.0,3.5,2.0-3.5,-0.7142857142857143,"FUF, left",0.662310606060606
2.0,4.0,2.0-4.0,-0.7714285714285715,"FUF, left",0.6404250841750841
2.5,3.0,2.5-3.0,0.08219949365267863,"FUF, left",0.20229377104377103
2.5,3.5,2.5-3.5,-0.2,"PUBF, left",0.48627946127946126
2.5,4.0,2.5-4.0,-0.3714285714285715,"PUBF, left",0.5929713804713804
3.0,3.5,3.0-3.5,-0.5,FBF,0.12405303030303032
3.0,4.0,3.0-4.0,-0.6,"FUF, left",0.5022306397306397
3.5,4.0,3.5-4.0,-0.7999999999999999,"FUF, left",0.11260521885521885
