file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,run_samples,transition_flag_raw,transition_flag
2 - Intact Holding Longer,"intact, but holding",1,212,338,27.233616666666656,31.433721666666656,4.200105000000001,3.0941044499996475,53.030345845000134,-0.7678602127033045,1.3820847446828401,2.1499449573861447,727,False,False
2 - Intact Holding Longer,"intact, but holding",2,1248,1356,63.26745566666665,66.86754066666666,3.600085000000007,3.502215282332818,52.037103426000456,-0.6294082170418059,0.5058886030609754,1.1352968201027813,748,False,False
2 - Intact Holding Longer,"intact, but holding",3,2181,2335,95.80138866666665,101.06809266666666,5.266704000000004,1.1255750046671706,52.80559325266652,-1.7900442024424046,0.5054521339216584,2.295496336364063,746,False,False
2 - Intact Holding Longer,"intact, but holding",4,3232,3476,133.10199666666665,141.23550566666665,8.133509000000004,2.4587416266656255,32.04588466766701,-0.49261962418632216,1.3414674307240415,1.8340870549103636,736,False,False
2 - Intact Holding Longer,"intact, but holding",5,4126,4263,165.13582966666664,169.93599866666665,4.800169000000011,1.5369377100003803,28.172468371999745,-0.8521086937552775,1.0362300244002562,1.8883387181555338,644,False,False
2 - Intact Holding Longer,"intact, but holding",6,4915,5116,194.10294466666664,200.80313566666666,6.700191000000018,4.257678562000294,26.002556486666833,-0.7171077683916126,1.2138747367084917,1.9309825051001042,663,False,False
2 - Intact Holding Longer,"intact, but holding",7,5758,5901,224.77014666666665,229.97026966666664,5.200122999999991,3.6375289333329492,41.90660723366684,-1.4811354436587485,1.5229939436660738,3.0041293873248223,455,False,False
2 - Intact Holding Longer,"intact, but holding",8,6325,6475,258.73745866666667,264.57081166666666,5.833352999999988,4.181198213333396,47.119678955000026,1.1001442881673904,1.4331615565380913,0.3330172683707009,659,False,False
2 - Intact Holding Longer,"intact, but holding",9,7198,7372,293.40470066666666,299.27139666666665,5.86669599999999,6.34575,42.44790680333336,-2.665235807839944,1.2183693095615742,3.883605117401518,880,False,False
3 - PUBF Left,"PUBF, left",1,1021,1183,66.31755899999999,71.71765099999999,5.400092000000001,1.38658004000018,34.225080760999944,-0.4074681031567135,2.387898077033343,2.7953661801900567,660,False,False
3 - PUBF Left,"PUBF, left",2,1880,2023,99.65137099999998,104.41806599999998,4.766694999999999,-0.2942507600005595,34.91876440599888,-0.08405486066116537,1.0304153635657667,1.114470224226932,519,True,False
3 - PUBF Left,"PUBF, left",3,2545,2691,124.05173599999999,128.918541,4.866805000000014,2.1671335440003205,36.012887232001574,-0.4491789342411988,1.0501693005801205,1.4993482348213192,611,False,False
3 - PUBF Left,"PUBF, left",4,3373,3494,153.785664,157.818967,4.033302999999989,5.061159040000007,30.53209186999995,-0.33914536440504406,1.4147991285557142,1.7539444929607582,549,False,False
3 - PUBF Left,"PUBF, left",5,4068,4164,179.219357,182.419447,3.2000899999999888,-0.6973577470001293,22.92992934000004,-0.5200481780264579,0.8346962493154255,1.3547444273418834,474,False,False
3 - PUBF Left,"PUBF, left",6,4697,4833,201.953081,206.486485,4.53340399999999,3.717054721000075,25.18469,-0.5048812146018529,1.1567448363933701,1.661626050995223,519,False,False
3 - PUBF Left,"PUBF, left",7,5453,5608,230.753555,236.820347,6.066791999999992,3.0494648550003567,33.12376101000009,-0.540739388157812,0.6627678930546669,1.2035072812124787,601,False,False
3 - PUBF Left,"PUBF, left",8,6239,6331,260.92096,264.08755099999996,3.1665909999999826,1.353767999998828,45.5480204219988,-0.0770118024350459,0.9170051268940563,0.9940169293291022,600,False,False
